name	version	source	checksum
aho-corasick	1.1.4	registry+https://github.com/rust-lang/crates.io-index	ddd31a130427c27518df266943a5308ed92d4b226cc639f5a8f1002816174301
ashpd	0.13.11	registry+https://github.com/rust-lang/crates.io-index	340e0f6bf7f9ee78549c61454f1460a3ed97c011902ee76b58301bbc6d502a32
async-broadcast	0.7.2	registry+https://github.com/rust-lang/crates.io-index	435a87a52755b8f27fcf321ac4f04b2802e337c8c4872923137471ec39c37532
async-recursion	1.1.1	registry+https://github.com/rust-lang/crates.io-index	3b43422f69d8ff38f95f1b2bb76517c91589a924d1559a0e935d7c8ce0274c11
async-trait	0.1.89	registry+https://github.com/rust-lang/crates.io-index	9035ad2d096bed7955a320ee7e2230574d28fd3c3a0f186cbea1ff3c7eed5dbb
atomic-waker	1.1.2	registry+https://github.com/rust-lang/crates.io-index	1505bd5d3d116872e7271a6d4e16d81d0c8570876c8de68093a09ac269d8aac0
autocfg	1.5.1	registry+https://github.com/rust-lang/crates.io-index	f2032f911046de80f0a198e0901378627c33f59ea0ac00e363d481118bd70a53
axum	0.8.9	registry+https://github.com/rust-lang/crates.io-index	31b698c5f9a010f6573133b09e0de5408834d0c82f8d7475a89fc1867a71cd90
axum-core	0.5.6	registry+https://github.com/rust-lang/crates.io-index	08c78f31d7b1291f7ee735c1c6780ccde7785daae9a9206026862dab7d8792d1
base64	0.22.1	registry+https://github.com/rust-lang/crates.io-index	72b3254f16251a8381aa12e40e3c4d2f0199f8c6508fbecb9d91f575e0fbb8c6
bitflags	2.12.1	registry+https://github.com/rust-lang/crates.io-index	84d7ced0ae9557296835c32bf1b1e02b44c746701f898460fb000d7eaa84f00a
block-buffer	0.10.4	registry+https://github.com/rust-lang/crates.io-index	3078c7629b62d3f0439517fa394996acacc5cbc91c5a20d8c658e77abd503a71
bumpalo	3.20.3	registry+https://github.com/rust-lang/crates.io-index	72f5acc6cb2ba439de613abc23857ec3d78374d8ed5ac84e9d11336e87da8649
bytes	1.11.1	registry+https://github.com/rust-lang/crates.io-index	1e748733b7cbc798e1434b6ac524f0c1ff2ab456fe201501e6497c8417a4fc33
cairo-rs	0.20.12	registry+https://github.com/rust-lang/crates.io-index	91e3bd0f4e25afa9cabc157908d14eeef9067d6448c49414d17b3fb55f0eadd0
cairo-sys-rs	0.20.10	registry+https://github.com/rust-lang/crates.io-index	059cc746549898cbfd9a47754288e5a958756650ef4652bbb6c5f71a6bda4f8b
cc	1.2.63	registry+https://github.com/rust-lang/crates.io-index	556e016178bb5662a08681bbe0f00f8e17631781a4dfc8c45e466e4b185ec27f
cfg-expr	0.20.8	registry+https://github.com/rust-lang/crates.io-index	fb693542bcafa528e198be0ebd9d3632ca5b7c93dbe7237460e199910835997c
cfg-if	1.0.4	registry+https://github.com/rust-lang/crates.io-index	9330f8b2ff13f34540b44e946ef35111825727b38d33286ef986142615121801
concurrent-queue	2.5.0	registry+https://github.com/rust-lang/crates.io-index	4ca0197aee26d1ae37445ee532fefce43251d24cc7c166799f4d46817f1d3973
core-foundation-sys	0.8.7	registry+https://github.com/rust-lang/crates.io-index	773648b94d0e5d620f64f280777445740e61fe701025087ec8b57f45c791888b
cpufeatures	0.2.17	registry+https://github.com/rust-lang/crates.io-index	59ed5838eebb26a2bb2e58f6d5b5316989ae9d08bab10e0e6d103e656d1b0280
crossbeam-deque	0.8.6	registry+https://github.com/rust-lang/crates.io-index	9dd111b7b7f7d55b72c0a6ae361660ee5853c9af73f70c3c2ef6858b950e2e51
crossbeam-epoch	0.9.18	registry+https://github.com/rust-lang/crates.io-index	5b82ac4a3c2ca9c3460964f020e1402edd5753411d7737aa39c3714ad1b5420e
crossbeam-utils	0.8.21	registry+https://github.com/rust-lang/crates.io-index	d0a5c400df2834b80a4c3327b3aad3a4c4cd4de0629063962b03235697506a28
crypto-common	0.1.7	registry+https://github.com/rust-lang/crates.io-index	78c8292055d1c1df0cce5d180393dc8cce0abec0a7102adb6c7b1eef6016d60a
digest	0.10.7	registry+https://github.com/rust-lang/crates.io-index	9ed9a281f7bc9b7576e61468ba615a66a5c8cfdff42420a70aa82701a3b1e292
displaydoc	0.2.6	registry+https://github.com/rust-lang/crates.io-index	1ac70aa55017e108007fbaf5aa0f54b021c98f92ff8af59d42eda9da96e3dd4f
either	1.16.0	registry+https://github.com/rust-lang/crates.io-index	91622ff5e7162018101f2fea40d6ebf4a78bbe5a49736a2020649edf9693679e
endi	1.1.1	registry+https://github.com/rust-lang/crates.io-index	66b7e2430c6dff6a955451e2cfc438f09cea1965a9d6f87f7e3b90decc014099
enumflags2	0.7.12	registry+https://github.com/rust-lang/crates.io-index	1027f7680c853e056ebcec683615fb6fbbc07dbaa13b4d5d9442b146ded4ecef
enumflags2_derive	0.7.12	registry+https://github.com/rust-lang/crates.io-index	67c78a4d8fdf9953a5c9d458f9efe940fd97a0cab0941c075a813ac594733827
equivalent	1.0.2	registry+https://github.com/rust-lang/crates.io-index	877a4ace8713b0bcf2a4e7eec82529c029f1d0619886d18145fea96c3ffe5c0f
errno	0.3.14	registry+https://github.com/rust-lang/crates.io-index	39cab71617ae0d63f51a36d69f866391735b51691dbda63cf6f96d042b63efeb
event-listener	5.4.1	registry+https://github.com/rust-lang/crates.io-index	e13b66accf52311f30a0db42147dadea9850cb48cd070028831ae5f5d4b856ab
