name	version_release	arch	license
7zip	26.02-1.fc44	x86_64	LGPL-2.1-or-later AND BSD-3-Clause AND BSD-2-Clause AND LicenseRef-Fedora-Public-Domain
ModemManager-glib	1.24.2-3.fc44	x86_64	LGPL-2.1-or-later
NetworkManager	1.56.1-2.fc44	x86_64	GPL-2.0-or-later AND LGPL-2.1-or-later
NetworkManager-cloud-setup	1.56.1-2.fc44	x86_64	GPL-2.0-or-later AND LGPL-2.1-or-later
NetworkManager-libnm	1.56.1-2.fc44	x86_64	LGPL-2.1-or-later
NetworkManager-team	1.56.1-2.fc44	x86_64	GPL-2.0-or-later AND LGPL-2.1-or-later
NetworkManager-tui	1.56.1-2.fc44	x86_64	GPL-2.0-or-later AND LGPL-2.1-or-later
NetworkManager-wifi	1.56.1-2.fc44	x86_64	GPL-2.0-or-later AND LGPL-2.1-or-later
PackageKit-glib	1.3.6-1.fc44	x86_64	GPL-2.0-or-later AND LGPL-2.1-or-later AND FSFAP
SDL3	3.4.12-1.fc44	x86_64	Zlib AND MIT AND Apache-2.0 AND (Apache-2.0 OR MIT)
WALinuxAgent-udev	2.15.0.1-3.fc44	noarch	Apache-2.0
aardvark-dns	1.17.1-1.fc44	x86_64	Apache-2.0 AND MIT AND Zlib
abattis-cantarell-vf-fonts	0.301-17.fc44	noarch	OFL-1.1
abseil-cpp	20260107.1-1.fc44	x86_64	Apache-2.0 AND LicenseRef-Fedora-Public-Domain
accountsservice	23.13.9-16.fc44	x86_64	GPL-3.0-or-later
accountsservice-libs	23.13.9-16.fc44	x86_64	GPL-3.0-or-later
acl	2.3.2-6.fc44	x86_64	GPL-2.0-or-later AND LGPL-2.1-or-later
adcli	0.9.3.1-5.fc44	x86_64	LGPL-2.1-or-later
adcli-selinux	0.9.3.1-5.fc44	noarch	LGPL-2.1-or-later
adobe-mappings-cmap	20231115-5.fc44	noarch	BSD-3-Clause
adobe-mappings-cmap-deprecated	20231115-5.fc44	noarch	BSD-3-Clause
adobe-mappings-pdf	20190401-12.fc44	noarch	BSD-3-Clause
adwaita-cursor-theme	50.0-1.fc44	noarch	LGPL-3.0-only OR CC-BY-SA-3.0
adwaita-icon-theme	50.0-1.fc44	noarch	LGPL-3.0-only OR CC-BY-SA-3.0
adwaita-icon-theme-legacy	46.2-7.fc44	noarch	LGPL-3.0-only OR CC-BY-SA-3.0
adwaita-mono-fonts	50.0-1.fc44	noarch	OFL-1.1
adwaita-sans-fonts	50.0-1.fc44	noarch	OFL-1.1
alsa-lib	1.2.16.1-1.fc44	x86_64	LGPL-2.1-or-later
alsa-ucm	1.2.16.1-1.fc44	noarch	BSD-3-Clause
alsa-utils	1.2.16-1.fc44	x86_64	GPL-2.0-or-later
alternatives	1.33-5.fc44	x86_64	GPL-2.0-only
amd-gpu-firmware	20260622-1.fc44	noarch	LicenseRef-Callaway-Redistributable-no-modification-permitted
amd-ucode-firmware	20260622-1.fc44	noarch	LicenseRef-Callaway-Redistributable-no-modification-permitted
anaconda	44.30-2.fc44	x86_64	GPL-2.0-or-later
anaconda-core	44.30-2.fc44	x86_64	GPL-2.0-or-later AND MIT
anaconda-gui	44.30-2.fc44	x86_64	GPL-2.0-or-later
anaconda-install-env-deps	44.30-2.fc44	x86_64	GPL-2.0-or-later
anaconda-install-img-deps	44.30-2.fc44	x86_64	GPL-2.0-or-later
anaconda-live	44.30-2.fc44	noarch	GPL-2.0-or-later
anaconda-tui	44.30-2.fc44	x86_64	GPL-2.0-or-later
anaconda-webui	68-1.fc44	noarch	LGPL-2.1-or-later AND MIT
